person,ec,date,type,pmid,title,source,abstract
,,,,37286633,Large scale proteomic studies create novel privacy considerations.,Sci Rep,"Privacy protection is a core principle of genomic but not proteomic research. We identified independent single nucleotide polymorphism (SNP) quantitative trait loci (pQTL) from COPDGene and Jackson Heart Study (JHS), calculated continuous protein level genotype probabilities, and then applied a naïve Bayesian approach to link SomaScan 1.3K proteomes to genomes for 2812 independent subjects from COPDGene, JHS, SubPopulations and InteRmediate Outcome Measures In COPD Study (SPIROMICS) and Multi-Ethnic Study of Atherosclerosis (MESA). We correctly linked 90-95% of proteomes to their correct genome and for 95-99% we identify the 1% most likely links. The linking accuracy in subjects with African ancestry was lower (~ 60%) unless training included diverse subjects. With larger profiling (SomaScan 5K) in the Atherosclerosis Risk Communities (ARIC) correct identification was > 99% even in mixed ancestry populations. We also linked proteomes-to-proteomes and used the proteome only to determine features such as sex, ancestry, and first-degree relatives. When serial proteomes are available, the linking algorithm can be used to identify and correct mislabeled samples. This work also demonstrates the importance of including diverse populations in omics research and that large proteomic datasets (> 1000 proteins) can be accurately linked to a specific genome through pQTL knowledge and should not be considered unidentifiable.© 2023. The Author(s)."
,,,,37205426,Association between circulating inflammatory markers and adult cancer risk: a Mendelian randomization analysis.,medRxiv,"Tumour-promoting inflammation is a ""hallmark"" of cancer and conventional epidemiological studies have reported links between various inflammatory markers and cancer risk. The causal nature of these relationships and, thus, the suitability of these markers as intervention targets for cancer prevention is unclear.We meta-analysed 6 genome-wide association studies of circulating inflammatory markers comprising 59,969 participants of European ancestry. We then used combinedcis-Mendelian randomization and colocalisation analysis to evaluate the causal role of 66 circulating inflammatory markers in risk of 30 adult cancers in 338,162 cancer cases and up to 824,556 controls. Genetic instruments for inflammatory markers were constructed using genome-wide significant (P< 5.0 x 10-8)cis-acting SNPs (i.e. in or ±250 kb from the gene encoding the relevant protein) in weak linkage disequilibrium (LD, r2< 0.10). Effect estimates were generated using inverse-variance weighted random-effects models and standard errors were inflated to account for weak LD between variants with reference to the 1000 Genomes Phase 3 CEU panel. A false discovery rate (FDR)-correctedP-value (""q-value"") < 0.05 was used as a threshold to define ""strong evidence"" to support associations and 0.05 ≤q-value < 0.20 to define ""suggestive evidence"". A colocalisation posterior probability (PPH4) > 70% was employed to indicate support for shared causal variants across inflammatory markers and cancer outcomes.We found strong evidence to support an association of genetically-proxied circulating pro-adrenomedullin concentrations with increased breast cancer risk (OR 1.19, 95% CI 1.10-1.29,q-value=0.033, PPH4=84.3%) and suggestive evidence to support associations of interleukin-23 receptor concentrations with increased pancreatic cancer risk (OR 1.42, 95% CI 1.20-1.69,q-value=0.055, PPH4=73.9%), prothrombin concentrations with decreased basal cell carcinoma risk (OR 0.66, 95% CI 0.53-0.81,q-value=0.067, PPH4=81.8%), macrophage migration inhibitory factor concentrations with increased bladder cancer risk (OR 1.14, 95% CI 1.05-1.23,q-value=0.072, PPH4=76.1%), and interleukin-1 receptor-like 1 concentrations with decreased triple-negative breast cancer risk (OR 0.92, 95% CI 0.88-0.97,q-value=0.15), PPH4=85.6%). For 22 of 30 cancer outcomes examined, there was little evidence (q-value ≥ 0.20) that any of the 66 circulating inflammatory markers examined were associated with cancer risk.Our comprehensive joint Mendelian randomization and colocalisation analysis of the role of circulating inflammatory markers in cancer risk identified potential roles for 5 circulating inflammatory markers in risk of 5 site-specific cancers. Contrary to reports from some prior conventional epidemiological studies, we found little evidence of association of circulating inflammatory markers with the majority of site-specific cancers evaluated."
,,,,37285076,Loss of Y chromosome in leukocytes can be regarded as a male-specific age predictor for age group estimation in forensic genetics.,Mol Genet Genomics,"Age prediction is an important field in forensic and aging research. Traditional methods used DNA methylation, telomere shortening, and mitochondrial DNA mutations to conduct age prediction models. Sex chromosomes, like the Y chromosome, have a significant role in aging as previously reported in hematopoietic disease and many non-reproductive cancers. Until now, there is no age predictor based on the percentage of loss of Y chromosome (LOY). LOY has been previously revealed to be correlated with Alzheimer's disease, short survival, and higher risk of cancer. The possible correlation of LOY between normal aging was not fully explored. In this study, we conducted age prediction by measuring LOY percentage by droplet digital PCR (ddPCR), based on 232 healthy male samples, including 171 blood samples, 49 saliva samples, 12 semen samples. The age group of samples ranges from 0 to 99 years, with two individuals in almost every single age. Pearson correlation method was performed to calculate the correlation index. The result indicated a correlation index of 0.21 (p = 0.0059) between age and LOY percentage in blood samples, with the regression formula being y = - 0.016823 + 0.001098x. The correlation between LOY percentage and age is obvious only when the individuals were divided into different age groups (R = 0.73, p = 0.016). In the studied saliva and semen samples, p-values of the correlation are 0.11 and 0.20, respectively, showing no significant association between age and LOY percentage in these two biological materials. For the first time, we investigated male-specific age predictor based on LOY. The study showed that LOY in leukocytes can be regarded as a male-specific age predictor for age group estimation in forensic genetics. This study might be indicative for forensic applications and aging research.© 2023. The Author(s), under exclusive licence to Springer-Verlag GmbH Germany, part of Springer Nature."
,,,,37286674,Ultraviolet light shapes the evolution of precancerous cells.,Nature,NA
,,,,37258665,Deterministic evolution and stringent selection during preneoplasia.,Nature,"The earliest events during human tumour initiation, although poorly characterized, may hold clues to malignancy detection and prevention1. Here we model occult preneoplasia by biallelic inactivation of TP53, a common early event in gastric cancer, in human gastric organoids. Causal relationships between this initiating genetic lesion and resulting phenotypes were established using experimental evolution in multiple clonally derived cultures over 2 years. TP53 loss elicited progressive aneuploidy, including copy number alterations and structural variants prevalent in gastric cancers, with evident preferred orders. Longitudinal single-cell sequencing of TP53-deficient gastric organoids similarly indicates progression towards malignant transcriptional programmes. Moreover, high-throughput lineage tracing with expressed cellular barcodes demonstrates reproducible dynamics whereby initially rare subclones with shared transcriptional programmes repeatedly attain clonal dominance. This powerful platform for experimental evolution exposes stringent selection, clonal interference and a marked degree of phenotypic convergence in premalignant epithelial organoids. These data imply predictability in the earliest stages of tumorigenesis and show evolutionary constraints and barriers to malignant transformation, with implications for earlier detection and interception of aggressive, genome-instable tumours.© 2023. The Author(s)."
,,,,37268719,Circulating tumour cells for early detection of clinically relevant cancer.,Nat Rev Clin Oncol,"Given that cancer mortality is usually a result of late diagnosis, efforts in the field of early detection are paramount to reducing cancer-related deaths and improving patient outcomes. Increasing evidence indicates that metastasis is an early event in patients with aggressive cancers, often occurring even before primary lesions are clinically detectable. Metastases are usually formed from cancer cells that spread to distant non-malignant tissues via the blood circulation, termed circulating tumour cells (CTCs). CTCs have been detected in patients with early stage cancers and, owing to their association with metastasis, might indicate the presence of aggressive disease, thus providing a possible means to expedite diagnosis and treatment initiation for such patients while avoiding overdiagnosis and overtreatment of those with slow-growing, indolent tumours. The utility of CTCs as an early diagnostic tool has been investigated, although further improvements in the efficiency of CTC detection are required. In this Perspective, we discuss the clinical significance of early haematogenous dissemination of cancer cells, the potential of CTCs to facilitate early detection of clinically relevant cancers, and the technological advances that might improve CTC capture and, thus, diagnostic performance in this setting.© 2023. Springer Nature Limited."
,,,,37264016,The blood proteome of imminent lung cancer diagnosis.,Nat Commun,"Identification of risk biomarkers may enhance early detection of smoking-related lung cancer. We measured between 392 and 1,162 proteins in blood samples drawn at most three years before diagnosis in 731 smoking-matched case-control sets nested within six prospective cohorts from the US, Europe, Singapore, and Australia. We identify 36 proteins with independently reproducible associations with risk of imminent lung cancer diagnosis (all p < 4 × 10-5). These include a few markers (e.g. CA-125/MUC-16 and CEACAM5/CEA) that have previously been reported in studies using pre-diagnostic blood samples for lung cancer. The 36 proteins include several growth factors (e.g. HGF, IGFBP-1, IGFP-2), tumor necrosis factor-receptors (e.g. TNFRSF6B, TNFRSF13B), and chemokines and cytokines (e.g. CXL17, GDF-15, SCF). The odds ratio per standard deviation range from 1.31 for IGFBP-1 (95% CI: 1.17-1.47) to 2.43 for CEACAM5 (95% CI: 2.04-2.89). We map the 36 proteins to the hallmarks of cancer and find that activation of invasion and metastasis, proliferative signaling, tumor-promoting inflammation, and angiogenesis are most frequently implicated.© 2023. World Health Organization."
,,,,37236058,Evaluation of pre-diagnostic blood protein measurements for predicting survival after lung cancer diagnosis.,EBioMedicine,"To evaluate whether circulating proteins are associated with survival after lung cancer diagnosis, and whether they can improve prediction of prognosis.We measured up to 1159 proteins in blood samples from 708 participants in 6 cohorts. Samples were collected within 3 years prior to lung cancer diagnosis. We used Cox proportional hazards models to identify proteins associated with overall mortality after lung cancer diagnosis. To evaluate model performance, we used a round-robin approach in which models were fit in 5 cohorts and evaluated in the 6th cohort. Specifically, we fit a model including 5 proteins and clinical parameters and compared its performance with clinical parameters only.There were 86 proteins nominally associated with mortality (p < 0.05), but only CDCP1 remained statistically significant after accounting for multiple testing (hazard ratio per standard deviation: 1.19, 95% CI: 1.10-1.30, unadjusted p = 0.00004). The external C-index for the protein-based model was 0.63 (95% CI: 0.61-0.66), compared with 0.62 (95% CI: 0.59-0.64) for the model with clinical parameters only. Inclusion of proteins did not provide a statistically significant improvement in discrimination (C-index difference: 0.015, 95% CI: -0.003 to 0.035).Blood proteins measured within 3 years prior to lung cancer diagnosis were not strongly associated with lung cancer survival, nor did they importantly improve prediction of prognosis beyond clinical information.No explicit funding for this study. Authors and data collection supported by the US National Cancer Institute (U19CA203654), INCA (France, 2019-1-TABAC-01), Cancer Research Foundation of Northern Sweden (AMP19-962), and Swedish Department of Health Ministry.Copyright © 2023 World Health Organization. Published by Elsevier B.V. All rights reserved."
,,,,37274121,Cell type deconvolution of methylated cell-free DNA at the resolution of individual reads.,NAR Genom Bioinform,"Cell-free DNA (cfDNA) are DNA fragments originating from dying cells that are detectable in bodily fluids, such as the plasma. Accelerated cell death, for example caused by disease, induces an elevated concentration of cfDNA. As a result, determining the cell type origins of cfDNA molecules can provide information about an individual's health. In this work, we aim to increase the sensitivity of methylation-based cell type deconvolution by adapting an existing method, CelFiE, which uses the methylation beta values of individual CpG sites to estimate cell type proportions. Our new method, CelFEER, instead differentiates cell types by the average methylation values within individual reads. We additionally improved the originally reported performance of CelFiE by using a new approach for finding marker regions that are differentially methylated between cell types. We show that CelFEER estimates cell type proportions with a higher correlation (r= 0.94 ± 0.04) than CelFiE (r= 0.86 ± 0.09) on simulated mixtures of cell types. Moreover, we show that the cell type proportion estimated by CelFEER can differentiate between ALS patients and healthy controls, between pregnant women in their first and third trimester, and between pregnant women with and without gestational diabetes.© The Author(s) 2023. Published by Oxford University Press on behalf of NAR Genomics and Bioinformatics."
,,,,37264447,A survey of mapping algorithms in the long-reads era.,Genome Biol,"It has been over a decade since the first publication of a method dedicated entirely to mapping long-reads. The distinctive characteristics of long reads resulted in methods moving from the seed-and-extend framework used for short reads to a seed-and-chain framework due to the seed abundance in each read. The main novelties are based on alternative seed constructs or chaining formulations. Dozens of tools now exist, whose heuristics have evolved considerably. We provide an overview of the methods used in long-read mappers. Since they are driven by implementation-specific parameters, we develop an original visualization tool to understand the parameter settings ( http://bcazaux.polytech-lille.net/Minimap2/ ).© 2023. The Author(s)."
,,,,37165229,First human 'pangenome' aims to catalogue genetic diversity.,Nature,NA
,,,,37239458,Novel Differentially Methylated Regions Identified by Genome-Wide DNA Methylation Analyses Contribute to Racial Disparities in Childhood Obesity.,Genes (Basel),"The magnitude of the childhood obesity epidemic and its effects on public health has accelerated the pursuit of practical preventative measures. Epigenetics is one subject that holds a lot of promise, despite being relatively new. The study of potentially heritable variations in gene expression that do not require modifications to the underlying DNA sequence is known as epigenetics. Here, we used Illumina MethylationEPIC BeadChip Array to identify differentially methylated regions in DNA isolated from saliva between normal weight (NW) and overweight/obese (OW/OB) children and between European American (EA) and African American (AA) children. A total of 3133 target IDs (associated with 2313 genes) were differentially methylated (p< 0.05) between NW and OW/OB children. In OW/OB children, 792 target IDs were hypermethylated and 2341 were hypomethylated compared to NW. Similarly, in the racial groups EA and AA, a total of 1239 target IDs corresponding to 739 genes were significantly differentially methylated in which 643 target IDs were hypermethylated and 596 were hypomethylated in the AA compared to EA participants. Along with this, the study identified novel genes that could contribute to the epigenetic regulation of childhood obesity."
,,,,37239390,Differential Methylation of Telomere-Related Genes Is Associated with Kidney Disease in Individuals with Type 1 Diabetes.,Genes (Basel),"Diabetic kidney disease (DKD) represents a major global health problem. Accelerated ageing is a key feature of DKD and, therefore, characteristics of accelerated ageing may provide useful biomarkers or therapeutic targets. Harnessing multi-omics, features affecting telomere biology and any associated methylome dysregulation in DKD were explored. Genotype data for nuclear genome polymorphisms in telomere-related genes were extracted from genome-wide case-control association data (n = 823 DKD/903 controls; n = 247 end-stage kidney disease (ESKD)/1479 controls). Telomere length was established using quantitative polymerase chain reaction. Quantitative methylation values for 1091 CpG sites in telomere-related genes were extracted from epigenome-wide case-control association data (n = 150 DKD/100 controls). Telomere length was significantly shorter in older age groups (p= 7.6 × 10-6). Telomere length was also significantly reduced (p= 6.6 × 10-5) in DKD versus control individuals, with significance remaining after covariate adjustment (p= 0.028). DKD and ESKD were nominally associated with telomere-related genetic variation, with Mendelian randomisation highlighting no significant association between genetically predicted telomere length and kidney disease. A total of 496 CpG sites in 212 genes reached epigenome-wide significance (p≤ 10-8) for DKD association, and 412 CpG sites in 193 genes for ESKD. Functional prediction revealed differentially methylated genes were enriched for Wnt signalling involvement. Harnessing previously published RNA-sequencing datasets, potential targets where epigenetic dysregulation may result in altered gene expression were revealed, useful as potential diagnostic and therapeutic targets for intervention."
,,,,37233989,Dietary and supplemental intake of vitamins C and E is associated with altered DNA methylation in an epigenome-wide association study meta-analysis.,Epigenetics,"Dietary intake of antioxidants such as vitamins C and E protect against oxidative stress, and may also be associated with altered DNA methylation patterns.We meta-analysed epigenome-wide association study (EWAS) results from 11,866 participants across eight population-based cohorts to evaluate the association between self-reported dietary and supplemental intake of vitamins C and E with DNA methylation. EWAS were adjusted for age, sex, BMI, caloric intake, blood cell type proportion, smoking status, alcohol consumption, and technical covariates. Significant results of the meta-analysis were subsequently evaluated in gene set enrichment analysis (GSEA) and expression quantitative trait methylation (eQTM) analysis.In meta-analysis, methylation at 4,656 CpG sites was significantly associated with vitamin C intake at FDR ≤ 0.05. The most significant CpG sites associated with vitamin C (at FDR ≤ 0.01) were enriched for pathways associated with systems development and cell signalling in GSEA, and were associated with downstream expression of genes enriched in the immune response in eQTM analysis. Furthermore, methylation at 160 CpG sites was significantly associated with vitamin E intake at FDR ≤ 0.05, but GSEA and eQTM analysis of the top most significant CpG sites associated with vitamin E did not identify significant enrichment of any biological pathways investigated.We identified significant associations of many CpG sites with vitamin C and E intake, and our results suggest that vitamin C intake may be associated with systems development and the immune response."
