EC,type,pmid,title,source,abstract
No,Methods,33707472,EMeth: An EM algorithm for cell type decomposition based on DNA methylation data.,Sci Rep,"We introduce a new computational method named EMeth to estimate cell type proportions using DNA methylation data. EMeth is a reference-based method that requires cell type-specific DNA methylation data from relevant cell types. EMeth improves on the existing reference-based methods by detecting the CpGs whose DNA methylation are inconsistent with the deconvolution model and reducing their contributions to cell type decomposition. Another novel feature of EMeth is that it allows a cell type with known proportions but unknown reference and estimates its methylation. This is motivated by the case of studying methylation in tumor cells while bulk tumor samples include tumor cells as well as other cell types such as infiltrating immune cells, and tumor cell proportion can be estimated by copy number data. We demonstrate that EMeth delivers more accurate estimates of cell type proportions than several other methods using simulated data and in silico mixtures. Applications in cancer studies show that the proportions of T regulatory cells estimated by DNA methylation have expected associations with mutation load and survival time, while the estimates from gene expression miss such associations."
No,Methods,33722199,Correction for both common and rare cell types in blood is important to identify genes that correlate with age.,BMC Genomics,"Aging is a multifactorial process that affects multiple tissues and is characterized by changes in homeostasis over time, leading to increased morbidity. Whole blood gene expression signatures have been associated with aging and have been used to gain information on its biological mechanisms, which are still not fully understood. However, blood is composed of many cell types whose proportions in blood vary with age. As a result, previously observed associations between gene expression levels and aging might be driven by cell type composition rather than intracellular aging mechanisms. To overcome this, previous aging studies already accounted for major cell types, but the possibility that the reported associations are false positives driven by less prevalent cell subtypes remains.Here, we compared the regression model from our previous work to an extended model that corrects for 33 additional white blood cell subtypes. Both models were applied to whole blood gene expression data from 3165 individuals belonging to the general population (age range of 18-81 years). We evaluated that the new model is a better fit for the data and it identified fewer genes associated with aging (625, compared to the 2808 of the initial model; P ≤ 2.5⨯10-6). Moreover, 511 genes (~ 18% of the 2808 genes identified by the initial model) were found using both models, indicating that the other previously reported genes could be proxies for less abundant cell types. In particular, functional enrichment of the genes identified by the new model highlighted pathways and GO terms specifically associated with platelet activity.We conclude that gene expression analyses in blood strongly benefit from correction for both common and rare blood cell types, and recommend using blood-cell count estimates as standard covariates when studying whole blood gene expression."
No,Methods,33752591,Nonlinear ridge regression improves cell-type-specific differential expression analysis.,BMC Bioinformatics,"Epigenome-wide association studies (EWAS) and differential gene expression analyses are generally performed on tissue samples, which consist of multiple cell types. Cell-type-specific effects of a trait, such as disease, on the omics expression are of interest but difficult or costly to measure experimentally. By measuring omics data for the bulk tissue, cell type composition of a sample can be inferred statistically. Subsequently, cell-type-specific effects are estimated by linear regression that includes terms representing the interaction between the cell type proportions and the trait. This approach involves two issues, scaling and multicollinearity.First, although cell composition is analyzed in linear scale, differential methylation/expression is analyzed suitably in the logit/log scale. To simultaneously analyze two scales, we applied nonlinear regression. Second, we show that the interaction terms are highly collinear, which is obstructive to ordinary regression. To cope with the multicollinearity, we applied ridge regularization. In simulated data, nonlinear ridge regression attained well-balanced sensitivity, specificity and precision. Marginal model attained the lowest precision and highest sensitivity and was the only algorithm to detect weak signal in real data.Nonlinear ridge regression performed cell-type-specific association test on bulk omics data with well-balanced performance. The omicwas package for R implements nonlinear ridge regression for cell-type-specific EWAS, differential gene expression and QTL analyses. The software is freely available from https://github.com/fumi-github/omicwas."
No,Reference,33739972,Assessing the co-variability of DNA methylation across peripheral cells and tissues: Implications for the interpretation of findings in epigenetic epidemiology.,PLoS Genet,"Most epigenome-wide association studies (EWAS) quantify DNA methylation (DNAm) in peripheral tissues such as whole blood to identify positions in the genome where variation is statistically associated with a trait or exposure. As whole blood comprises a mix of cell types, it is unclear whether trait-associated DNAm variation is specific to an individual cellular population. We collected three peripheral tissues (whole blood, buccal epithelial and nasal epithelial cells) from thirty individuals. Whole blood samples were subsequently processed using fluorescence-activated cell sorting (FACS) to purify five constituent cell-types (monocytes, granulocytes, CD4+ T cells, CD8+ T cells, and B cells). DNAm was profiled in all eight sample-types from each individual using the Illumina EPIC array. We identified significant differences in both the level and variability of DNAm between different sample types, and DNAm data-derived estimates of age and smoking were found to differ dramatically across sample types from the same individual. We found that for the majority of loci variation in DNAm in individual blood cell types was only weakly predictive of variance in DNAm measured in whole blood, although the proportion of variance explained was greater than that explained by either buccal or nasal epithelial samples. Covariation across sample types was much higher for DNAm sites influenced by genetic factors. Overall, we observe that DNAm variation in whole blood is additively influenced by a combination of the major blood cell types. For a subset of sites, however, variable DNAm detected in whole blood can be attributed to variation in a single blood cell type providing potential mechanistic insight about EWAS findings. Our results suggest that associations between whole blood DNAm and traits or exposures reflect differences in multiple cell types and our data will facilitate the interpretation of findings in epigenetic epidemiology."
No,Reference,33669975,Extensive Placental Methylation Profiling in Normal Pregnancies.,Int J Mol Sci,"The placental methylation pattern is crucial for the regulation of genes involved in trophoblast invasion and placental development, both key events for fetal growth. We investigated LINE-1 methylation and methylome profiling using a methylation EPIC array and the targeted methylation sequencing of 154 normal, full-term pregnancies, stratified by birth weight percentiles. LINE-1 methylation showed evidence of a more pronounced hypomethylation in small neonates compared with normal and large for gestational age. Genome-wide methylation, performed in two subsets of pregnancies, showed very similar methylation profiles among cord blood samples while placentae from different pregnancies appeared very variable. A unique methylation profile emerged in each placenta, which could represent the sum of adjustments that the placenta made during the pregnancy to preserve the epigenetic homeostasis of the fetus. Investigations into the 1000 most variable sites between cord blood and the placenta showed that promoters and gene bodies that are hypermethylated in the placenta are associated with blood-specific functions, whereas those that are hypomethylated belong mainly to pathways involved in cancer. These features support the functional analogies between a placenta and cancer. Our results, which provide a comprehensive analysis of DNA methylation profiling in the human placenta, suggest that its peculiar dynamicity can be relevant for understanding placental plasticity in response to the environment."
No,TWAS,33693414,The Human Blood Transcriptome in a Large Population Cohort and Its Relation to Aging and Health.,Front Big Data,"Background:The blood transcriptome is expected to provide a detailed picture of an organism's physiological state with potential outcomes for applications in medical diagnostics and molecular and epidemiological research. We here present the analysis of blood specimens of 3,388 adult individuals, together with phenotype characteristics such as disease history, medication status, lifestyle factors, and body mass index (BMI). The size and heterogeneity of this data challenges analytics in terms of dimension reduction, knowledge mining, feature extraction, and data integration.Methods:Self-organizing maps (SOM)-machine learning was applied to study transcriptional states on a population-wide scale. This method permits a detailed description and visualization of the molecular heterogeneity of transcriptomes and of their association with different phenotypic features.Results:The diversity of transcriptomes is described by personalized SOM-portraits, which specify the samples in terms of modules of co-expressed genes of different functional context. We identified two major blood transcriptome types where type 1 was found more in men, the elderly, and overweight people and it upregulated genes associated with inflammation and increased heme metabolism, while type 2 was predominantly found in women, younger, and normal weight participants and it was associated with activated immune responses, transcriptional, ribosomal, mitochondrial, and telomere-maintenance cell-functions. We find a striking overlap of signatures shared by multiple diseases, aging, and obesity driven by an underlying common pattern, which was associated with the immune response and the increase of inflammatory processes.Conclusions:Machine learning applications for large and heterogeneous omics data provide a holistic view on the diversity of the human blood transcriptome. It provides a tool for comparative analyses of transcriptional signatures and of associated phenotypes in population studies and medical applications.Copyright © 2020 Schmidt, Hopp, Arakelyan, Kirsten, Engel, Wirkner, Krohn, Burkhardt, Thiery, Loeffler, Loeffler-Wirth and Binder."
Yes,EWAS,33752734,Epigenome-wide association study of whole blood gene expression in Framingham Heart Study participants provides molecular insight into the potential role of CHRNA5 in cigarette smoking-related lung diseases.,Clin Epigenetics,"DNA methylation is a key epigenetic modification that can directly affect gene regulation. DNA methylation is highly influenced by environmental factors such as cigarette smoking, which is causally related to chronic obstructive pulmonary disease (COPD) and lung cancer. To date, there have been few large-scale, combined analyses of DNA methylation and gene expression and their interrelations with lung diseases.We performed an epigenome-wide association study of whole blood gene expression in ~ 6000 individuals from four cohorts. We discovered and replicated numerous CpGs associated with the expression of cis genes within 500 kb of each CpG, with 148 to 1,741 cis CpG-transcript pairs identified across cohorts. We found that the closer a CpG resided to a transcription start site, the larger its effect size, and that 36% of cis CpG-transcript pairs share the same causal genetic variant. Mendelian randomization analyses revealed that hypomethylation and lower expression of CHRNA5, which encodes a smoking-related nicotinic receptor, are causally linked to increased risk of COPD and lung cancer. This putatively causal relationship was further validated in lung tissue data.Our results provide a large and comprehensive association study of whole blood DNA methylation with gene expression. Expression platform differences rather than population differences are critical to the replication of cis CpG-transcript pairs. The low reproducibility of trans CpG-transcript pairs suggests that DNA methylation regulates nearby rather than remote gene expression. The putatively causal roles of methylation and expression of CHRNA5 in relation to COPD and lung cancer provide evidence for a mechanistic link between patterns of smoking-related epigenetic variation and lung diseases, and highlight potential therapeutic targets for lung diseases and smoking cessation."
Yes,EWAS,33751861,"Exposure to violence, chronic stress, nasal DNA methylation, and atopic asthma in children.",Pediatr Pulmonol,"Exposure to violence (ETV) or chronic stress may influence asthma through unclear mechanisms.Epigenome-wide association study (EWAS) of ETV or chronic stress measures and DNA methylation in nasal epithelium from 487 Puerto Ricans aged 9-20 years who participated in the Epigenetic Variation and Childhood Asthma in Puerto Ricans study [EVA-PR]). We assessed four measures of ETV and chronic stress in children (ETV scale, gun violence, and perceived stress) and their mothers (perceived stress). Each EWAS was conducted using linear regression, with CpGs as dependent variables and the stress/violence measure as a predictor, adjusting for age, sex, the top five principal components, and SVA latent factors. We then selected the top 100 CpGs (by p value) associated with each stress/violence measure in EVA-PR and conducted a meta-analysis of the selected CpGs and atopic asthma using data from EVA-PR and two additional cohorts (Project Viva and PIAMA).Three CpGs (in SNN, PTPRN2, and LINC01164) were associated with maternal perceived stress or gun violence (p = 1.28-3.36 × 10-7), but not with atopic asthma, in EVA-PR. In a meta-analysis of three cohorts, which included the top CpGs associated with stress/violence measures in EVA-PR, 12 CpGs (in STARD3NL, SLC35F4, TSR3, CDC42SE2, KLHL25, PLCB1, BUD13, OR2B3, GALR1, TMEM196, TEAD4, and ANAPC13) were associated with atopic asthma at FDR-p < .05.Pending confirmation in longitudinal studies, our findings suggest that nasal epithelial methylation markers associated with measures of ETV and chronic stress may be linked to atopic asthma in children and adolescents.© 2021 Wiley Periodicals LLC."
Yes,EWAS,33748261,Epigenome-wide association study on diffusing capacity of the lung.,ERJ Open Res,"Epigenetics may play an important role in the pathogenesis of lung diseases. However, little is known about the epigenetic factors that influence impaired gas exchange at the lung.To identify the epigenetic signatures of the diffusing capacity of the lung measured by carbon monoxide uptake (the diffusing capacity of the lung for carbon monoxide (DLCO)).An epigenome-wide association study (EWAS) was performed on diffusing capacity, measured by carbon monoxide uptake (DLCO) and per alveolar volume (VA) (asDLCO/VA), using the single-breath technique in 2674 individuals from two population-based cohort studies. These were the Rotterdam Study (RS, the ""discovery panel"") and the Framingham Heart Study (FHS, the ""replication panel""). We assessed the clinical relevance of our findings by investigating the identified sites in whole blood and by lung tissue specific gene expression.We identified and replicated two CpG sites (cg05575921 and cg05951221) that were significantly associated withDLCO/VAand one (cg05575921) suggestively associated withDLCO. Furthermore, we found a positive association between aryl hydrocarbon receptor repressor (AHRR) gene (cg05575921) hypomethylation and gene expression of exocyst complex component 3 (EXOC3) in whole blood. We confirmed that the expression ofEXOC3in lung tissue is positively associated withDLCO/VAandDLCO.We report on epigenome-wide associations with diffusing capacity in the general population. Our results suggest EXOC3 to be an excellent candidate, through which smoking-induced hypomethylation ofAHRRmight affect pulmonary gas exchange.Copyright ©ERS 2021."
Yes,EWAS,33741061,Birthweight DNA methylation signatures in infant saliva.,Clin Epigenetics,"Low birthweight has been repeatedly associated with long-term adverse health outcomes and many non-communicable diseases. Our aim was to look-up cord blood birthweight-associated CpG sites identified by the PACE Consortium in infant saliva, and to explore saliva-specific DNA methylation signatures of birthweight.DNA methylation was assessed using Infinium HumanMethylation450K array in 135 saliva samples collected from children of the NINFEA birth cohort at an average age of 10.8 (range 7-17) months. The association analyses between birthweight and DNA methylation variations were carried out using robust linear regression models both in the exploratory EWAS analyses and in the look-up of the PACE findings in infant saliva.None of the cord blood birthweight-associated CpGs identified by the PACE Consortium was associated with birthweight when analysed in infant saliva. In saliva EWAS analyses, considering a false discovery rate p-values < 0.05, birthweight as continuous variable was associated with DNA methylation in 44 CpG sites; being born small for gestational age (SGA, lower 10thpercentile of birthweight for gestational age according to WHO reference charts) was associated with DNA methylation in 44 CpGs, with only one overlapping CpG between the two analyses. Despite no overlap with PACE results at the CpG level, two of the top saliva birthweight CpGs mapped at genes associated with birthweight with the same direction of the effect also in the PACE Consortium (MACROD1 and RPTOR).Our study provides an indication of the birthweight and SGA epigenetic salivary signatures in children around 10 months of age. DNA methylation signatures in cord blood may not be comparable with saliva DNA methylation signatures at about 10 months of age, suggesting that the birthweight epigenetic marks are likely time and tissue specific."
Yes,EWAS,33729499,Assessing the role of genome-wide DNA methylation between smoking and risk of lung cancer using repeated measurements: the HUNT study.,Int J Epidemiol,"It is unclear if smoking-related DNA methylation represents a causal pathway between smoking and risk of lung cancer. We sought to identify novel smoking-related DNA methylation sites in blood, with repeated measurements, and to appraise the putative role of DNA methylation in the pathway between smoking and lung cancer development.We derived a nested case-control study from the Trøndelag Health Study (HUNT), including 140 incident patients who developed lung cancer during 2009-13 and 140 controls. We profiled 850 K DNA methylation sites (Illumina Infinium EPIC array) in DNA extracted from blood that was collected in HUNT2 (1995-97) and HUNT3 (2006-08) for the same individuals. Epigenome-wide association studies (EWAS) were performed for a detailed smoking phenotype and for lung cancer. Two-step Mendelian randomization (MR) analyses were performed to assess the potential causal effect of smoking on DNA methylation as well as of DNA methylation (13 sites as putative mediators) on risk of lung cancer.The EWAS for smoking in HUNT2 identified associations at 76 DNA methylation sites (P < 5 × 10-8), including 16 novel sites. Smoking was associated with DNA hypomethylation in a dose-response relationship among 83% of the 76 sites, which was confirmed by analyses using repeated measurements from blood that was collected at 11 years apart for the same individuals. Two-step MR analyses showed evidence for a causal effect of smoking on DNA methylation but no evidence for a causal link between DNA methylation and the risk of lung cancer.DNA methylation modifications in blood did not seem to represent a causal pathway linking smoking and the lung cancer risk.© The Author(s) 2021. Published by Oxford University Press on behalf of the International Epidemiological Association."
