EC,type,pmid,title,source,abstract
no,ewas,35243180,Differential DNA methylation in Black and White individuals with chronic low back pain enrich different genomic pathways.,Neurobiol Pain,"Compared to Non-Hispanic Whites (NHWs), individuals who self-identify as Non-Hispanic Blacks (NHBs) in the United States experience more severe and disabling chronic low back pain (cLBP). We hypothesized that differences in DNA methylation (DNAm) play a role in racial disparities in cLBP.To determine the relationship between DNAm levels and racial group differences in adults with cLBP. Our study's secondary purpose was to perform a race-stratified comparison of adults with cLBP and pain-free controls and identify functional genomic pathways enriched by annotated differentially methylated genes.We recruited 49 NHBs and 49 NHWs (49 cLBP and 49 pain-free controls, PFCs), analyzed DNAm from whole blood using reduced representation bisulfite sequencing, and identified enriched genomic pathways.Among participants with cLBP, we identified 2873 differentially methylated loci (DML; methylation differences of at least 10% and p < 0.0001), many of which were annotated to genes of importance to pain pathology. These DMLs significantly enriched pathways to involved in nociception/pain processing (Dopamine-DARPP32 Feedback in cAMP signaling,GABA Receptor Signaling,Opioid Signaling) and neuronal differentiation (e.g.,Calcium Signaling, Axon Guidance Signaling, andEndocannabinoid Neuronal Synapse). Our race stratified analyses of individuals with cLBP versus PFCs revealed 2356 DMLs in NHBs and 772 DMLs in NHWs with p < 0.0001 and > 10% methylation difference. Ingenuity Pathway Analysis revealed that many pathways of significance to pain such asCorticotropin Releasing Hormone Signaling, White Adipose Tissue Browning,andGABA Receptor Signaling pathways, were more significant in NHBs than NHWs.Even though an individual's self-identified race is a social construct, not a biological variable, racism associated with that classification affects virtually every aspect of life, including disease risk. DNAm induced alterations in stress signaling pathways may explain worse pain outcomes in NHBs.© 2022 The Author(s)."
no,ewas,35245816,Genome-wide DNA methylation profiling identifies epigenetic changes in CD4+ and CD14+ cells of multiple sclerosis patients.,Mult Scler Relat Disord,"Multiple sclerosis (MS) is a chronic autoimmune and degenerative disease of the central nervous system, which develops in genetically predisposed individuals upon exposure to environmental influences. Environmental triggers of MS, such as viral infections or smoking, were demonstrated to affect DNA methylation, and thus to involve this important epigenetic mechanism in the development of pathological process. To identify MS-associated DNA methylation hallmarks, we performed genome-wide DNA methylation profiling of two cell populations (CD4+ T-lymphocytes and CD14+ monocytes), collected from the same treatment-naive relapsing-remitting MS patients and healthy subjects, using Illumina 450 K methylation arrays. We revealed significant changes in DNA methylation for both cell populations in MS. In CD4+ cells of MS patients the majority of differentially methylated positions (DMPs) were shown to be hypomethylated, while in CD14+ cells - hypermethylated. Differential methylation of HLA-DRB1 gene in CD4+ and CD14+ cells was associated with carriage of DRB1*15 allele independently from the disease status. Besides, about 20% of identified DMPs were shared between two cell populations and had the same direction of methylation changes; they may be involved in basic epigenetic processes occuring in MS. These findings suggest that the epigenetic mechanism of DNA methylation in immune cells contributes to MS; further studies are now required to validate these results and understand their functional significance.Copyright © 2022. Published by Elsevier B.V."
yes,ewas,35266797,Gestational Perfluoroalkyl Substance Exposure and DNA Methylation at Birth and 12 Years of Age: A Longitudinal Epigenome-Wide Association Study.,Environ Health Perspect,"DNA methylation alterations may underlie associations between gestational perfluoroalkyl substances (PFAS) exposure and later-life health outcomes. To the best of our knowledge, no longitudinal studies have examined the associations between gestational PFAS and DNA methylation.We examined associations of gestational PFAS exposure with longitudinal DNA methylation measures at birth and in adolescence using the Health Outcomes and Measures of the Environment (HOME) Study (2003-2006; Cincinnati, Ohio).We quantified serum concentrations of perfluorooctanoate (PFOA), perfluorooctane sulfonate (PFOS), perfluorononanoate (PFNA), and perfluorohexane sulfonate (PFHxS) in mothers during pregnancy. We measured DNA methylation in cord blood (n=266) and peripheral leukocytes at 12 years of age (n=160) using the Illumina HumanMethylation EPIC BeadChip. We analyzed associations betweenlog2-transformedPFAS concentrations and repeated DNA methylation measures using linear regression with generalized estimating equations. We included interaction terms between children's age and gestational PFAS. We performed Gene Ontology enrichment analysis to identify molecular pathways. We used Project Viva (1999-2002; Boston, Massachusetts) to replicate significant associations.After adjusting for covariates, 435 cytosine-guanine dinucleotide (CpG) sites were associated with PFAS (false discovery rate,q<0.05). Specifically, we identified 2 CpGs for PFOS, 12 for PFOA, 8 for PFHxS, and 413 for PFNA; none overlapped. Among these, 2 CpGs for PFOA and 4 for PFNA were replicated in Project Viva. Some of the PFAS-associated CpG sites annotated to gene regions related to cancers, cognitive health, cardiovascular disease, and kidney function. We found little evidence that the associations between PFAS and DNA methylation differed by children's age.In these longitudinal data, PFAS biomarkers were associated with differences in several CpGs at birth and at 12 years of age in or near genes linked to some PFAS-associated health outcomes. Future studies should examine whether DNA methylation mediates associations between gestational PFAS exposure and health. https://doi.org/10.1289/EHP10118."
no,meqtl,35247911,Genetic regulation of DNA methylation yields novel discoveries in GWAS of colorectal cancer.,Cancer Epidemiol Biomarkers Prev,"Colorectal cancer (CRC) has a strong epigenetic component that is accompanied by frequent DNA methylation (DNAm) alterations in addition to heritable genetic risk. It is of interest to understand the interrelationship of germline genetics, DNAm, and CRC risk.We performed a genome-wide methylation quantitative trait locus (meQTL) analysis in 1355 people, assessing the pairwise associations between genetic variants and lymphocytes methylation data. In addition, we used penalized regression with cis-genetic variants +/- 1Mb of methylation to identify genome-wide heritable DNAm. We evaluated the association of genetically predicted methylation with CRC risk based on GWAS of over 125,000 cases and controls using the multivariate sMiST as well as univariately via examination of marginal association with CRC risk.Of the 142 known CRC genome-wide association studies (GWAS) loci, 47 were identified as meQTLs. We identified 4 novel CRC associated loci (NID2, ATXN10, KLHDC10 and CEP41) that reside over 1Mb outside of known CRC loci and 10 secondary signals within 1Mb of known loci.Leveraging information of DNAm regulation into genetic association of CRC risk reveals novel pathways in CRC tumorigenesis. Our summary statistics-based framework sMiST provides a powerful approach by combining information from the effect through methylation and residual direct effects of the meQTLs on disease risk. Further validation and functional follow-up of these novel pathways are needed.Using genotype, DNA methylation, GWAS, we identified four new CRC risk loci. We studied the landscape of genetic regulation of DNA methylation via single-SNP and multi-SNP meQTL analyses."
no,methods,35245419,Sparse latent factor regression models for genome-wide and epigenome-wide association studies.,Stat Appl Genet Mol Biol,"Association of phenotypes or exposures with genomic and epigenomic data faces important statistical challenges. One of these challenges is to account for variation due to unobserved confounding factors, such as individual ancestry or cell-type composition in tissues. This issue can be addressed with penalized latent factor regression models, where penalties are introduced to cope with high dimension in the data. If a relatively small proportion of genomic or epigenomic markers correlate with the variable of interest, sparsity penalties may help to capture the relevant associations, but the improvement over non-sparse approaches has not been fully evaluated yet. Here, we present least-squares algorithms that jointly estimate effect sizes and confounding factors in sparse latent factor regression models. In simulated data, sparse latent factor regression models generally achieved higher statistical performance than other sparse methods, including the least absolute shrinkage and selection operator and a Bayesian sparse linear mixed model. In generative model simulations, statistical performance was slightly lower (while being comparable) to non-sparse methods, but in simulations based on empirical data, sparse latent factor regression models were more robust to departure from the model than the non-sparse approaches. We applied sparse latent factor regression models to a genome-wide association study of a flowering trait for the plantArabidopsis thalianaand to an epigenome-wide association study of smoking status in pregnant women. For both applications, sparse latent factor regression models facilitated the estimation of non-null effect sizes while overcoming multiple testing issues. The results were not only consistent with previous discoveries, but they also pinpointed new genes with functional annotations relevant to each application.© 2022 Walter de Gruyter GmbH, Berlin/Boston."
no,omics,35212264,Getting closer to the clinic.,Elife,Associations between plasma protein levels and DNA methylation patterns can be used to predict the onset of age-related chronic disease.
no,omics,35220969,A guide for the diagnosis of rare and undiagnosed disease: beyond the exome.,Genome Med,"Rare diseases affect 30 million people in the USA and more than 300-400 million worldwide, often causing chronic illness, disability, and premature death. Traditional diagnostic techniques rely heavily on heuristic approaches, coupling clinical experience from prior rare disease presentations with the medical literature. A large number of rare disease patients remain undiagnosed for years and many even die without an accurate diagnosis. In recent years, gene panels, microarrays, and exome sequencing have helped to identify the molecular cause of such rare and undiagnosed diseases. These technologies have allowed diagnoses for a sizable proportion (25-35%) of undiagnosed patients, often with actionable findings. However, a large proportion of these patients remain undiagnosed. In this review, we focus on technologies that can be adopted if exome sequencing is unrevealing. We discuss the benefits of sequencing the whole genome and the additional benefit that may be offered by long-read technology, pan-genome reference, transcriptomics, metabolomics, proteomics, and methyl profiling. We highlight computational methods to help identify regionally distant patients with similar phenotypes or similar genetic mutations. Finally, we describe approaches to automate and accelerate genomic analysis. The strategies discussed here are intended to serve as a guide for clinicians and researchers in the next steps when encountering patients with non-diagnostic exomes.© 2022. The Author(s)."
no,omics (n=1280),35241783,Genetically regulated multi-omics study for symptom clusters of posttraumatic stress disorder highlights pleiotropy with hematologic and cardio-metabolic traits.,Mol Psychiatry,"Posttraumatic stress disorder (PTSD) is a psychiatric disorder that may arise in response to severe traumatic event and is diagnosed based on three main symptom clusters (reexperiencing, avoidance, and hyperarousal) per the Diagnostic Manual of Mental Disorders (version DSM-IV-TR). In this study, we characterized the biological heterogeneity of PTSD symptom clusters by performing a multi-omics investigation integrating genetically regulated gene, splicing, and protein expression in dorsolateral prefrontal cortex tissue within a sample of US veterans enrolled in the Million Veteran Program (Ntotal = 186,689). We identified 30 genes in 19 regions across the three PTSD symptom clusters. We found nine genes to have cell-type specific expression, and over-representation of miRNA-families - miR-148, 30, and 8. Gene-drug target prioritization approach highlighted cyclooxygenase and acetylcholine compounds. Next, we tested molecular-profile based phenome-wide impact of identified genes with respect to 1678 phenotypes derived from the Electronic Health Records of the Vanderbilt University biorepository (N = 70,439). Lastly, we tested for local genetic correlation across PTSD symptom clusters which highlighted metabolic (e.g., obesity, diabetes, vascular health) and laboratory traits (e.g., neutrophil, eosinophil, tau protein, creatinine kinase). Overall, this study finds comprehensive genomic evidence including clinical and regulatory profiles between PTSD, hematologic and cardiometabolic traits, that support comorbidities observed in epidemiologic studies of PTSD.© 2022. The Author(s), under exclusive licence to Springer Nature Limited."
no,pqtl,35264221,Integrative genetic and immune cell analysis of plasma proteins in healthy donors identifies novel associations involving primary immune deficiency genes.,Genome Med,"Blood plasma proteins play an important role in immune defense against pathogens, including cytokine signaling, the complement system, and the acute-phase response. Recent large-scale studies have reported genetic (i.e., protein quantitative trait loci, pQTLs) and non-genetic factors, such as age and sex, as major determinants to inter-individual variability in immune response variation. However, the contribution of blood-cell composition to plasma protein heterogeneity has not been fully characterized and may act as a mediating factor in association studies.Here, we evaluated plasma protein levels from 400 unrelated healthy individuals of western European ancestry, who were stratified by sex and two decades of life (20-29 and 60-69 years), from the Milieu Intérieur cohort. We quantified 229 proteins by Luminex in a clinically certified laboratory and their levels of variation were analyzed together with 5.2 million single-nucleotide polymorphisms. With respect to non-genetic variables, we included 254 lifestyle and biochemical factors, as well as counts of seven circulating immune cell populations measured by hemogram and standardized flow cytometry.Collectively, we found 152 significant associations involving 49 proteins and 20 non-genetic variables. Consistent with previous studies, age and sex showed a global, pervasive impact on plasma protein heterogeneity, while body mass index and other health status variables were among the non-genetic factors with the highest number of associations. After controlling for these covariates, we identified 100 and 12 pQTLs acting in cis and trans, respectively, collectively associated with 87 plasma proteins and including 19 novel genetic associations. Genetic factors explained the largest fraction of the variability of plasma protein levels, as compared to non-genetic factors. In addition, blood-cell fractions, including leukocytes, lymphocytes, monocytes, neutrophils, eosinophils, basophils, and platelets, had a larger contribution to inter-individual variability than age and sex and appeared as confounders of specific genetic associations. Finally, we identified new genetic associations with plasma protein levels of five monogenic Mendelian disease genes including two primary immunodeficiency genes (Ficolin-3 and FAS).Our study identified novel genetic and non-genetic factors associated to plasma protein levels which may inform health status and disease management.© 2022. The Author(s)."
no,prediction,35209953,Evidence of accelerated epigenetic aging of breast tissues in patients with breast cancer is driven by CpGs associated with polycomb-related genes.,Clin Epigenetics,"Age is one of the strongest risk factors for the development of breast cancer, however, the underlying etiology linking age and breast cancer remains unclear. We have previously observed links between epigenetic aging signatures in breast/tumor tissue and breast cancer risk/prevalence. However, these DNA methylation-based aging biomarkers capture diverse epigenetic phenomena and it is not known to what degree they relate to breast cancer risk, and/or progression.Using six epigenetic clocks, we analyzed whether they distinguish normal breast tissue adjacent to tumor (cases) vs normal breast tissue from healthy controls (controls).The Levine (p = 0.0037) and Yang clocks (p = 0.023) showed significant epigenetic age acceleration in cases vs controls in breast tissue. We observed that much of the difference between cases and controls is driven by CpGs associated with polycomb-related genes. Thus, we developed a new score utilizing only CpGs associated with polycomb-related genes and demonstrated that it robustly captured epigenetic age acceleration in cases vs controls (p = 0.00012). Finally, we tested whether this same signal could be seen in peripheral blood. We observed no difference in cases vs. controls and no correlation between matched tissue/blood samples, suggesting that peripheral blood is not a good surrogate marker for epigenetic age acceleration.Moving forward, it will be critical for studies to elucidate whether epigenetic age acceleration in breast tissue precedes breast cancer diagnosis and whether methylation changes at CpGs associated with polycomb-related genes can be used to assess the risk of developing breast cancer among unaffected individuals.© 2022. The Author(s)."
no,prediction,35225958,Opportunities for Early Cancer Detection: The Rise of ctDNA Methylation-Based Pan-Cancer Screening Technologies.,Epigenomes,"The efficiency of conventional screening programs to identify early-stage malignancies can be limited by the low number of cancers recommended for screening as well as the high cumulative false-positive rate, and associated iatrogenic burden, resulting from repeated multimodal testing. The opportunity to use minimally invasive liquid biopsy testing to screen asymptomatic individuals at-risk for multiple cancers simultaneously could benefit from the aggregated diseases prevalence and a fixed specificity. Increasing both latter parameters is paramount to mediate high positive predictive value-a useful metric to evaluate a screening test accuracy and its potential harm-benefit. Thus, the use of a single test for multi-cancer early detection (stMCED) has emerged as an appealing strategy for increasing early cancer detection rate efficiency and benefit population health. A recent flurry of these stMCED technologies have been reported for clinical potential; however, their development is facing unique challenges to effectively improve clinical cost-benefit. One promising avenue is the analysis of circulating tumour DNA (ctDNA) for detecting DNA methylation biomarker fingerprints of malignancies-a hallmark of disease aetiology and progression holding the potential to be tissue- and cancer-type specific. Utilizing panels of epigenetic biomarkers could potentially help to detect earlier stages of malignancies as well as identify a tumour of origin from blood testing, useful information for follow-up clinical decision making and subsequent patient care improvement. Overall, this review collates the latest and most promising stMCED methodologies, summarizes their clinical performances, and discusses the specific requirements multi-cancer tests should meet to be successfully implemented into screening guidelines."
